"categoria_idx","categoria_idx_pai","status","titulo","descricao","data_cadastro","codigo_imagem","titulo_en"
18,0,1,ALIMENTOS,"",2004-08-25 14:21:00,"GB 0002, RB 0001, MN 0100, EL 0001",Food
19,0,1,ARQUITETURA,"",2004-08-25 14:22:00,GB 0006,Architecture
20,0,1,BRASIL,"",2004-08-25 14:22:00,GB 0010,Brazil
21,0,1,CIÊNCIA E TECNOLOGIA,"",2004-08-25 14:22:00,,Science and Technology
22,0,1,CULTURA,"",2004-08-25 14:23:00,,Culture
23,0,1,ECOLOGIA,"",2004-08-25 14:23:00,,Ecology
24,0,1,ECONOMIA,"",2004-08-25 14:23:00,,Economy
25,0,1,ESPORTE E LAZER,"",2004-08-25 14:25:00,,Sports and leisure
26,0,1,CONCEITUAL,"",2004-08-25 14:25:00,,Cenceptual Concept
27,0,1,INTERNACIONAL,"",2004-08-25 14:25:00,,International
28,0,1,GENTE,"",2004-08-25 14:27:00,,People
29,0,1,GRAFISMO,"",2004-08-25 14:28:00,,Graphics Graphism
30,0,1,PAISAGEM,"",2004-08-25 14:28:00,,Landscape
31,0,1,SUBAQUÁTICAS,"",2004-08-25 14:28:00,,Underwater submarine
32,0,0,TURISMO ,"",2005-04-26 09:19:00,,Turism
33,0,1,PUBLICIDADE,"",2004-08-25 14:29:00,,Publicity
34,0,1,REPRODUÇÕES,"",2004-08-25 14:30:00,,Copies
35,0,1,NÓS,"",2004-08-25 14:30:00,,Us
485,0,1,COLEÇÕES,"",,,Colections
37,0,1,HISTÓRICAS,"",2004-08-25 14:30:00,,Historical
38,18,1,Bebidas,"",2004-08-25 14:33:00,,drinks
39,18,1,Doces,"",2004-08-25 14:33:00,,sweets
40,18,1,Ervas,"",2004-08-25 14:33:00,,herbs
41,18,1,Fabricação Artesanal,"",2004-08-25 14:33:00,,artisan manufacture
42,18,1,Frutas,"",2004-08-25 14:34:00,,Fruits
43,18,1,Gastronomia,"",2005-06-06 12:19:00,,Grastronomy
44,18,1,Grãos e Amêndoas,"",2004-08-25 14:34:00,,Cereals and nuts
45,18,1,Legumes e Verduras,"",2004-08-25 14:35:00,,Vegetables
46,18,0,Massas,"",2005-06-06 12:19:00,,Pasta
47,18,1,Pescados,"",2004-08-25 14:35:00,,Fish
48,18,1,Vários,"",2005-06-20 18:10:00,,Assorted
49,19,1,Arquitetura Popular,"",2004-08-25 14:42:00,,Popular Architecture
51,19,1,Arquitetura Urbana,"",2005-04-11 12:17:00,,Urban Architecture
52,19,1,Igrejas(Templos),"",2004-08-25 14:42:00,,Churchs Temples
55,19,1,Patrimônio Histórico,"",2004-08-25 14:43:00,,Historical Sites Buildings
58,19,0,Vários,"",2005-04-20 10:41:00,,Assorted
59,20,0,Acre,"",2006-04-24 15:59:00,,
60,20,0,Amapá,"",2005-06-17 14:14:00,,
61,20,1,Alagoas,"",2006-04-24 15:58:00,,
62,20,1,Amazonas,"",2006-04-24 15:59:00,,
63,20,1,Bahia,"",2004-08-25 14:44:00,,
64,63,1,Chapada Diamantina,"",2004-08-25 14:51:00,,
65,20,1,Brasília,"",2004-08-25 14:51:00,,
66,20,1,Ceará,"",2004-08-25 14:51:00,,
67,66,1,Fortaleza,"",2004-08-25 14:51:00,,
68,20,0,Espírito Santo,"",2005-06-17 14:15:00,,
69,20,1,Fernando de Noronha,"",2004-08-25 14:52:00,,
70,20,1,Goiás,"",2005-06-20 18:11:00,,
71,20,1,Maranhão,"",2004-08-25 14:53:00,,
72,20,0,Mato Grosso,"",2005-06-17 14:15:00,,
73,20,1,Mato Grosso do Sul,"",2006-04-24 16:12:00,,
74,20,1,Minas Gerais,"",2006-04-24 16:00:00,,
75,20,1,Pará,"",2004-08-25 14:53:00,,
76,20,1,Paraíba,"",2004-08-25 14:54:00,,
77,20,1,Paraná,"",2004-08-25 14:54:00,,
78,20,1,Pernambuco,"",2004-08-25 14:54:00,,
79,20,1,Piauí,"",2004-08-25 14:54:00,,
80,79,1,Teresina,"",2004-08-25 14:54:00,,
81,79,1,Sete Cidades,"",2004-08-25 14:54:00,,
82,79,1,Delta Parnaíba,"",2004-08-25 14:55:00,,
83,79,1,Serra da Capivara,"",2004-08-25 14:55:00,,
84,20,1,Rio Grande do Norte,"",2004-08-25 14:55:00,,
85,20,1,Rio Grande do Sul,"",2004-08-25 14:55:00,,
86,20,1,Rio de Janeiro,"",2004-08-25 14:56:00,,
87,86,1,Búzios,"",2004-08-25 14:56:00,,
88,86,1,Jardim Botânico,"",2004-08-25 14:56:00,,
89,20,0,Rondônia,"",2005-06-17 14:16:00,,
90,20,1,Roraima,"",2006-04-24 16:12:00,,
91,20,1,Santa Catarina,"",2006-04-24 16:00:00,,
92,20,1,Sergipe,"",2006-04-24 16:12:00,,
93,20,1,São Paulo,"",2004-08-25 14:57:00,,
94,20,1,Tocantins,"",2006-04-24 16:12:00,,
95,21,1,Energia,"",2004-08-25 14:58:00,,Energy
97,21,0,Vários,"",2005-04-20 10:43:00,,Assorted
100,22,1, Artesanato,"",2004-08-25 14:59:00,,Handcraft work
102,100,1,Areia colorida,"",2004-08-25 15:00:00,,Colored Sand
103,100,1,Artigos de pesca,"",2004-08-25 15:00:00,,Fishing gear
104,100,1,Bordados,"",2004-08-25 15:00:00,,Embroidered
105,100,1,Cerâmicas,"",2004-08-25 15:00:00,,Ceramic
106,100,1,Trançados ,"",2004-08-25 15:00:00,,Tressed Wickerwork
107,100,1,Couro ,"",2004-08-25 15:01:00,,Leather
108,100,1,Crochê,"",2004-08-25 15:01:00,,Crochet
109,100,1,Filé,"",2004-08-25 15:01:00,,Filet
110,100,1,Imaginária/Arte popular,"",2004-08-25 15:01:00,,Imagery Popular Art
111,100,1,Labirinto,"",2004-08-25 15:01:00,,Labyrinth
112,100,1,Madeira,"",2004-08-25 15:01:00,,Wood
113,100,1,Metal,"",2004-08-25 15:01:00,,Metal
114,100,1,Multiplicidade,"",2004-08-25 15:02:00,,Multiplicity
115,100,1,Palha,"",2004-08-25 15:02:00,,Straw
116,100,1,Pontos de venda,"",2004-08-25 15:02:00,,Sale points
117,100,1,Renda,"",2004-08-25 15:02:00,,Lace
118,100,1,Retalhos,"",2004-08-25 15:02:00,,Remnants
119,100,1, Tecelagem,"",2004-08-25 15:02:00,,Weaving
120,100,1,Vários,"",2004-08-25 15:03:00,,Assorted
479,21,0,Escolas técnicas e universidades,"",2005-04-26 09:15:00,,School University College
480,21,0,Bioquímica,"",2005-04-26 09:15:00,,Biochemistry
481,21,0,Tecnologia,"",2005-06-17 14:17:00,,Technology
184,182,1,Comida,"",2004-08-25 15:14:00,,Food
